Marcaj de timp,În acest moment aveți calitatea de :,Vârsta : ,Câte tranzacții online ați efectuat în perioada (feb-aprilie 2021) ?,În ce masură contează pentru tine beneficiile achizitiilor online mentionate mai jos? [Posibilitatea de a realiza comparații],În ce masură contează pentru tine beneficiile achizitiilor online mentionate mai jos? [Accesibilitatea 24/24],În ce masură contează pentru tine beneficiile achizitiilor online mentionate mai jos? [Oportunitatea de a plăti un preț mai mic],În ce masură contează pentru tine beneficiile achizitiilor online mentionate mai jos? [Acces la o gamă mai largă de produse],În ce masură contează pentru tine beneficiile achizitiilor online mentionate mai jos? [Abilitatea de a împărtăși experiențe pe rețelele de socializare],În ce masură sunteți influențat de factorii de mai jos atunci cand vrei sa realizezi achiziții online?  [Experiența personală],În ce masură sunteți influențat de factorii de mai jos atunci cand vrei sa realizezi achiziții online?  [Review-urile de pe site],În ce masură sunteți influențat de factorii de mai jos atunci cand vrei sa realizezi achiziții online?  [Opiniile celor apropiați],În ce masură sunteți influențat de factorii de mai jos atunci cand vrei sa realizezi achiziții online?  [Informația care ți-o oferă motoarele de căutare],În ce masură conteaza elementele enumarate mai jos atunci când alegeți un magazin online?  [Brand-ul ],În ce masură conteaza elementele enumarate mai jos atunci când alegeți un magazin online?  [Ușurința utilizării website-ului],În ce masură conteaza elementele enumarate mai jos atunci când alegeți un magazin online?  [Politica de return],În ce masură conteaza elementele enumarate mai jos atunci când alegeți un magazin online?  [Diversitatea gamei de produse],În ce masură conteaza elementele enumarate mai jos atunci când alegeți un magazin online?  [Posibilitatea de a urmări comanda],În ce masură obișnuiți sa vă documentați înainte de a plasa o comandă online? ,Ce categorie de produse cumpărați cel mai mult online? ,Cât de frecvent efectuați achiziții online pe lună?,În ce masură ați întâmpinat problemele de mai jos atunci cand ați comandat un produs de pe internet? [Timpul de livrare nu a fost respectat],În ce masură ați întâmpinat problemele de mai jos atunci cand ați comandat un produs de pe internet? [Produsul a ajuns cu defecte],În ce masură ați întâmpinat problemele de mai jos atunci cand ați comandat un produs de pe internet? [Costuri mari cu livrarea],În ce masură ați întâmpinat problemele de mai jos atunci cand ați comandat un produs de pe internet? [Calitate inferioară],În ce masură ați întâmpinat problemele de mai jos atunci cand ați comandat un produs de pe internet? [Returnarea produsului a fost dificilă],Ce ați făcut atunci când ați întâlnit o problemă cu produsul achiziționat online?,"În urma experiențelor dvs.  privind achizițiile online, care considerați ca a fost cea mai bună? De ce?",Dar cea mai puțin bună? De ce?,Numărul mediu pe care îl petreceți online (înafara cursurilor online).,Nivelul de studii  absolvit :,Genul :
2021/04/27 11:37:42 a.m. GMT+3,Student,18 - 21 ani,Peste 5 tranzacții online,3,4,2,3,4,4,4,3,4,3,4,4,3,3,4,Cărți și reviste,o dată pe lună,3,4,4,3,4,Am comunicat cu vanzătorul online pentru a remedia situația.,"Cumpărarea unor bilete de avion, pentrucă a fost rapid și accesibil tot procesul","o carte, livrarea a durat foarte mult",Mai mult de 3 ore,Studii liceale,Feminin
2021/04/27 12:00:13 p.m. GMT+3,Student,18 - 21 ani,Peste 5 tranzacții online,2,4,3,5,1,2,1,3,1,4,2,3,4,4,2,Haine și încăltăminte,o dată pe săptămână,2,2,3,2,1,Am comunicat cu vanzătorul online pentru a remedia situația.,Toate achizitiile care nu au trebuit returnate au fost bune in egala masura.,"Cele carora a trebuit sa le fac retur, din cauza defectelor de fabricatie.",Mai mult de 3 ore,Studii liceale,Feminin
2021/04/27 12:04:24 p.m. GMT+3,Student,22 - 24 ani,Peste 5 tranzacții online,5,5,4,5,5,4,4,4,2,3,5,3,5,5,5,Accesorii / produse de îngrijire personală,o dată pe lună,3,2,4,2,3,Am comunicat cu vanzătorul online pentru a remedia situația.,O experiență în care mi se comunică constant starea livrării si la final mi se cere feed-back mi se pare cea mai potrivită. ,"Cea mai puțin bună a fost o experiență în care nu am fost notificată deloc de starea livrării, au intervenit dificultăți privind contractarea curierului, nefiind disponibilă în acel moment, ca la final să fiu blamată eu deși comunicarea a fost neeficientă",Mai mult de 3 ore,Studii liceale,Feminin
2021/04/27 4:32:49 p.m. GMT+3,Student,18 - 21 ani,Peste 5 tranzacții online,3,3,5,5,3,5,4,3,5,5,4,4,4,4,4,Haine și încăltăminte,o dată pe lună,5,3,5,4,5,Am comunicat cu vanzătorul online pentru a remedia situația.,Comenzile de pe Aboutyou deoarece puteam urmari comanda,Coletul mi-a venit cu 2 saptamani intarziere,Între 2-3 ore,Studii liceale,Feminin
2021/04/27 4:33:29 p.m. GMT+3,Student,18 - 21 ani,Mai puțin de 5 tranzacții online,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021/04/27 4:36:34 p.m. GMT+3,Student,18 - 21 ani,Mai puțin de 5 tranzacții online,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021/04/27 4:37:32 p.m. GMT+3,Student,18 - 21 ani,Mai puțin de 5 tranzacții online,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021/04/27 4:37:33 p.m. GMT+3,Student,18 - 21 ani,Mai puțin de 5 tranzacții online,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021/04/27 4:39:27 p.m. GMT+3,Absolvent  de Studii Superioare,22 - 24 ani,Mai puțin de 5 tranzacții online,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021/04/27 4:40:08 p.m. GMT+3,Student,18 - 21 ani,Mai puțin de 5 tranzacții online,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021/04/27 4:40:54 p.m. GMT+3,Student,25 - 30 ani,Mai puțin de 5 tranzacții online,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021/04/27 4:41:03 p.m. GMT+3,Absolvent  de Studii Superioare,25 - 30 ani,Peste 5 tranzacții online,3,5,5,5,5,4,5,4,4,4,5,5,4,4,5,Haine și încăltăminte,de 2-3 ori pe lună,4,2,2,3,3,Am comunicat cu vanzătorul online pentru a remedia situația.,"Haine, e mai ușor decât de umblat prin magazine, plus că poți prinde oferte mai bune",Nu știu să zic,Între 2-3 ore,Studii post-universitare,Feminin
2021/04/27 4:41:21 p.m. GMT+3,Student,18 - 21 ani,Peste 5 tranzacții online,5,5,5,5,1,5,3,5,3,3,3,5,5,5,5,Mâncare,o dată pe săptămână,3,2,2,2,3,Am comunicat cu vanzătorul online pentru a remedia situația.,"Am comandat o dată, printre altele, niște becuri de la Auchan și mi-au ajuns pe culori diferite. Am sunat la ei și în câteva ore au trimis pe cineva și am făcut schimbul de becuri.",Mi-au pus că ajung după masa după ora 14 și au ajuns la 21. I-am așteptat toată ziua degeaba.,Mai mult de 3 ore,Studii liceale,Feminin
2021/04/27 4:41:59 p.m. GMT+3,Student,25 - 30 ani,Peste 5 tranzacții online,4,4,1,4,1,4,4,1,1,4,4,4,4,4,3,Haine și încăltăminte,de 2-3 ori pe lună,4,2,2,2,4,Am comunicat cu vanzătorul online pentru a remedia situația.,"Achizitii de pe about you , livrare rapida ,retur gratuit . Foarte incantata .","Am achizitionat un compleu iar cand a ajuns nu era deloc calitatea din descrierea produsului ,dezamagita total .",Între 2-3 ore,Studii liceale,Feminin
2021/04/27 4:42:01 p.m. GMT+3,Student,18 - 21 ani,Mai puțin de 5 tranzacții online,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021/04/27 4:42:20 p.m. GMT+3,Student,18 - 21 ani,Mai puțin de 5 tranzacții online,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021/04/27 4:43:08 p.m. GMT+3,Student,22 - 24 ani,Mai puțin de 5 tranzacții online,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021/04/27 4:44:52 p.m. GMT+3,Student,18 - 21 ani,Mai puțin de 5 tranzacții online,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021/04/27 4:44:56 p.m. GMT+3,Student,18 - 21 ani,Mai puțin de 5 tranzacții online,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021/04/27 4:46:06 p.m. GMT+3,Student,25 - 30 ani,Peste 5 tranzacții online,5,5,5,5,5,5,5,5,4,3,3,4,5,4,4,Accesorii / produse de îngrijire personală,o dată pe lună,4,4,5,5,5,Am comunicat cu vanzătorul online pentru a remedia situația.,Cumparaturile de oa farmacii/ produse de ingrijire persoanala ,Am cumparat un corset pentru spate care arata in poze intr-un fel si fizic nici nu seamana cu poza,Mai mult de 3 ore,Studii liceale,Feminin
2021/04/27 4:48:25 p.m. GMT+3,Absolvent  de Studii Superioare,22 - 24 ani,Peste 5 tranzacții online,5,5,5,5,3,4,4,4,3,4,4,4,4,4,5,Mâncare,de 2-3 ori pe săptămână,2,2,4,2,1,Am comunicat cu vanzătorul online pentru a remedia situația.,.,.,Între 2-3 ore,Studii universitare,Feminin
